SNAil.ID,Infection.Status,fact,fact1,week,egg.masses
C-1 ,0,un,a,1,1
C-2,0,un,a,1,0
C-3,0,un,a,1,5
C-4,0,un,a,1,4
C-5,0,un,a,1,0
C-6,0,un,a,1,2
C-7,0,un,a,1,0
C-8,0,un,a,1,5
C-9,0,un,a,1,0
C-10,0,un,a,1,8
C-11,0,un,a,1,0
C-12,0,un,a,1,0
C-13,0,un,a,1,0
C-14,0,un,a,1,5
C-15,0,un,a,1,0
C-16,0,un,a,1,4
C-17,0,un,a,1,4
C-18,0,un,a,1,5
C-19,0,un,a,1,10
C-20,0,un,a,1,6
C-21,0,un,a,1,6
C-22,0,un,a,1,4
C-23,0,un,a,1,6
C-24,0,un,a,1,0
C-25,0,un,a,1,7
C-26,0,un,a,1,4
C-27,0,un,a,1,8
C-28,0,un,a,1,5
C-29,0,un,a,1,1
C-30,0,un,a,1,2
C-31,0,un,a,1,0
C-32,0,un,a,1,0
C-33,0,un,a,1,6
C-34,0,un,a,1,2
C-35,0,un,a,1,6
C-36,0,un,a,1,2
C-37,0,un,a,1,0
C-38,0,un,a,1,2
C-39,0,un,a,1,0
C-40,0,un,a,1,1
I-1,2,in,in,1,4
I-2,2,in,in,1,0
I-3,2,in,in,1,3
I-4,2,in,in,1,8
I-5,2,in,in,1,5
I-6,2,in,in,1,3
I-7,2,in,in,1,7
I-8,2,in,in,1,7
I-9,2,in,in,1,0
I-10,1,ex,ex,1,0
I-11,2,in,in,1,0
I-12,2,in,in,1,5
I-13,1,ex,ex,1,8
I-14,2,in,in,1,5
I-15,2,in,in,1,0
I-16,1,ex,ex,1,0
I-17,2,in,in,1,0
I-18,2,in,in,1,8
I-19,2,in,in,1,0
I-20,2,in,in,1,4
I-21,2,in,in,1,0
I-22,2,in,in,1,4
I-23,1,ex,ex,1,1
I-24,2,in,in,1,6
I-25,2,in,in,1,4
I-26,1,ex,ex,1,4
I-27,2,in,in,1,3
I-28,2,in,in,1,4
I-29,1,ex,ex,1,6
I-30,2,in,in,1,4
I-31,2,in,in,1,8
I-32,2,in,in,1,9
I-33,2,in,in,1,7
I-34,2,in,in,1,6
I-35,2,in,in,1,6
I-36,2,in,in,1,9
I-37,2,in,in,1,6
I-38,1,ex,ex,1,0
I-39,2,in,in,1,7
I-40,2,in,in,1,0
I-41,2,in,in,1,0
I-42,2,in,in,1,0
I-43,1,ex,ex,1,NA
I-44,1,ex,ex,1,0
I-45,1,ex,ex,1,5
I-46,2,in,in,1,7
I-47,2,in,in,1,1
I-48,1,ex,ex,1,4
I-49,1,ex,ex,1,4
I-50,1,ex,ex,1,4
C-1 ,0,un,a,2,0
C-2,0,un,a,2,0
C-3,0,un,a,2,8
C-4,0,un,a,2,2
C-5,0,un,a,2,0
C-6,0,un,a,2,5
C-7,0,un,a,2,0
C-8,0,un,a,2,8
C-9,0,un,a,2,1
C-10,0,un,a,2,12
C-11,0,un,a,2,4
C-12,0,un,a,2,1
C-13,0,un,a,2,0
C-14,0,un,a,2,3
C-15,0,un,a,2,3
C-16,0,un,a,2,13
C-17,0,un,a,2,8
C-18,0,un,a,2,9
C-19,0,un,a,2,15
C-20,0,un,a,2,8
C-21,0,un,a,2,10
C-22,0,un,a,2,8
C-23,0,un,a,2,11
C-24,0,un,a,2,0
C-25,0,un,a,2,12
C-26,0,un,a,2,8
C-27,0,un,a,2,3
C-28,0,un,a,2,9
C-29,0,un,a,2,5
C-30,0,un,a,2,8
C-31,0,un,a,2,0
C-32,0,un,a,2,0
C-33,0,un,a,2,8
C-34,0,un,a,2,2
C-35,0,un,a,2,11
C-36,0,un,a,2,7
C-37,0,un,a,2,0
C-38,0,un,a,2,3
C-39,0,un,a,2,3
C-40,0,un,a,2,4
I-1,2,in,in,2,6
I-2,2,in,in,2,0
I-3,2,in,in,2,10
I-4,2,in,in,2,5
I-5,2,in,in,2,9
I-6,2,in,in,2,1
I-7,2,in,in,2,11
I-8,2,in,in,2,6
I-9,2,in,in,2,0
I-10,1,ex,ex,2,0
I-11,2,in,in,2,3
I-12,2,in,in,2,7
I-13,1,ex,ex,2,17
I-14,2,in,in,2,12
I-15,2,in,in,2,6
I-16,1,ex,ex,2,10
I-17,2,in,in,2,7
I-18,2,in,in,2,13
I-19,2,in,in,2,0
I-20,2,in,in,2,9
I-21,2,in,in,2,0
I-22,2,in,in,2,11
I-23,1,ex,ex,2,0
I-24,2,in,in,2,5
I-25,2,in,in,2,6
I-26,1,ex,ex,2,8
I-27,2,in,in,2,7
I-28,2,in,in,2,9
I-29,1,ex,ex,2,5
I-30,2,in,in,2,4
I-31,2,in,in,2,11
I-32,2,in,in,2,10
I-33,2,in,in,2,8
I-34,2,in,in,2,7
I-35,2,in,in,2,11
I-36,2,in,in,2,12
I-37,2,in,in,2,10
I-38,1,ex,ex,2,12
I-39,2,in,in,2,8
I-40,2,in,in,2,10
I-41,2,in,in,2,6
I-42,2,in,in,2,0
I-43,1,ex,ex,2,NA
I-44,1,ex,ex,2,6
I-45,1,ex,ex,2,9
