SNAil.ID,Infection.Status,fact,fact1,week,eggs
C-1 ,0,un,a,1,7
C-2,0,un,a,1,0
C-3,0,un,a,1,51
C-4,0,un,a,1,33
C-5,0,un,a,1,0
C-6,0,un,a,1,8
C-7,0,un,a,1,0
C-8,0,un,a,1,56
C-9,0,un,a,1,0
C-10,0,un,a,1,83
C-11,0,un,a,1,0
C-12,0,un,a,1,0
C-13,0,un,a,1,0
C-14,0,un,a,1,53
C-15,0,un,a,1,0
C-16,0,un,a,1,20
C-17,0,un,a,1,35
C-18,0,un,a,1,47
C-19,0,un,a,1,92
C-20,0,un,a,1,79
C-21,0,un,a,1,72
C-22,0,un,a,1,26
C-23,0,un,a,1,90
C-24,0,un,a,1,0
C-25,0,un,a,1,40
C-26,0,un,a,1,16
C-27,0,un,a,1,110
C-28,0,un,a,1,31
C-29,0,un,a,1,2
C-30,0,un,a,1,13
C-31,0,un,a,1,0
C-32,0,un,a,1,0
C-33,0,un,a,1,39
C-34,0,un,a,1,10
C-35,0,un,a,1,53
C-36,0,un,a,1,11
C-37,0,un,a,1,0
C-38,0,un,a,1,26
C-39,0,un,a,1,0
C-40,0,un,a,1,4
I-1,2,in,in,1,45
I-2,2,in,in,1,0
I-3,2,in,in,1,13
I-4,2,in,in,1,44
I-5,2,in,in,1,32
I-6,2,in,in,1,20
I-7,2,in,in,1,204
I-8,2,in,in,1,49
I-9,2,in,in,1,0
I-10,1,ex,ex,1,0
I-11,2,in,in,1,0
I-12,2,in,in,1,30
I-13,1,ex,ex,1,30
I-14,2,in,in,1,24
I-15,2,in,in,1,0
I-16,1,ex,ex,1,0
I-17,2,in,in,1,0
I-18,2,in,in,1,79
I-19,2,in,in,1,0
I-20,2,in,in,1,51
I-21,2,in,in,1,0
I-22,2,in,in,1,31
I-23,1,ex,ex,1,3
I-24,2,in,in,1,40
I-25,2,in,in,1,33
I-26,1,ex,ex,1,22
I-27,2,in,in,1,32
I-28,2,in,in,1,37
I-29,1,ex,ex,1,37
I-30,2,in,in,1,44
I-31,2,in,in,1,58
I-32,2,in,in,1,71
I-33,2,in,in,1,44
I-34,2,in,in,1,31
I-35,2,in,in,1,73
I-36,2,in,in,1,69
I-37,2,in,in,1,55
I-38,1,ex,ex,1,0
I-39,2,in,in,1,61
I-40,2,in,in,1,0
I-41,2,in,in,1,0
I-42,2,in,in,1,0
I-43,1,ex,ex,1,NA
I-44,1,ex,ex,1,0
I-45,1,ex,ex,1,36
I-46,2,in,in,1,49
I-47,2,in,in,1,10
I-48,1,ex,ex,1,21
I-49,1,ex,ex,1,26
I-50,1,ex,ex,1,32
C-1 ,0,un,a,2,0
C-2,0,un,a,2,0
C-3,0,un,a,2,61
C-4,0,un,a,2,14
C-5,0,un,a,2,0
C-6,0,un,a,2,21
C-7,0,un,a,2,0
C-8,0,un,a,2,121
C-9,0,un,a,2,1
C-10,0,un,a,2,178
C-11,0,un,a,2,6
C-12,0,un,a,2,5
C-13,0,un,a,2,0
C-14,0,un,a,2,23
C-15,0,un,a,2,33
C-16,0,un,a,2,115
C-17,0,un,a,2,54
C-18,0,un,a,2,130
C-19,0,un,a,2,188
C-20,0,un,a,2,110
C-21,0,un,a,2,204
C-22,0,un,a,2,97
C-23,0,un,a,2,217
C-24,0,un,a,2,0
C-25,0,un,a,2,72
C-26,0,un,a,2,74
C-27,0,un,a,2,36
C-28,0,un,a,2,101
C-29,0,un,a,2,23
C-30,0,un,a,2,104
C-31,0,un,a,2,0
C-32,0,un,a,2,0
C-33,0,un,a,2,99
C-34,0,un,a,2,16
C-35,0,un,a,2,114
C-36,0,un,a,2,50
C-37,0,un,a,2,0
C-38,0,un,a,2,32
C-39,0,un,a,2,45
C-40,0,un,a,2,38
I-1,2,in,in,2,66
I-2,2,in,in,2,0
I-3,2,in,in,2,94
I-4,2,in,in,2,24
I-5,2,in,in,2,103
I-6,2,in,in,2,6
I-7,2,in,in,2,142
I-8,2,in,in,2,23
I-9,2,in,in,2,0
I-10,1,ex,ex,2,0
I-11,2,in,in,2,7
I-12,2,in,in,2,51
I-13,1,ex,ex,2,136
I-14,2,in,in,2,101
I-15,2,in,in,2,53
I-16,1,ex,ex,2,88
I-17,2,in,in,2,40
I-18,2,in,in,2,145
I-19,2,in,in,2,0
I-20,2,in,in,2,112
I-21,2,in,in,2,0
I-22,2,in,in,2,111
I-23,1,ex,ex,2,0
I-24,2,in,in,2,54
I-25,2,in,in,2,61
I-26,1,ex,ex,2,92
I-27,2,in,in,2,85
I-28,2,in,in,2,51
I-29,1,ex,ex,2,41
I-30,2,in,in,2,49
I-31,2,in,in,2,125
I-32,2,in,in,2,104
I-33,2,in,in,2,70
I-34,2,in,in,2,64
I-35,2,in,in,2,147
I-36,2,in,in,2,120
I-37,2,in,in,2,104
I-38,1,ex,ex,2,51
I-39,2,in,in,2,91
I-40,2,in,in,2,33
I-41,2,in,in,2,28
I-42,2,in,in,2,0
I-43,1,ex,ex,2,NA
I-44,1,ex,ex,2,39
I-45,1,ex,ex,2,61
I-46,2,in,in,2,105
I-47,2,in,in,2,44
I-48,1,ex,ex,2,NA
I-49,1,ex,ex,2,75
I-50,1,ex,ex,2,146
C-1 ,0,un,a,3,0
C-2,0,un,a,3,0
C-3,0,un,a,3,19
C-4,0,un,a,3,48
C-5,0,un,a,3,8
C-6,0,un,a,3,16
C-7,0,un,a,3,NA
C-8,0,un,a,3,97
C-9,0,un,a,3,23
C-10,0,un,a,3,126
C-11,0,un,a,3,132
C-12,0,un,a,3,57
C-13,0,un,a,3,0
C-14,0,un,a,3,0
C-15,0,un,a,3,181
C-16,0,un,a,3,148
C-17,0,un,a,3,78
C-18,0,un,a,3,123
C-19,0,un,a,3,124
C-20,0,un,a,3,74
C-21,0,un,a,3,92
C-22,0,un,a,3,73
C-23,0,un,a,3,88
C-24,0,un,a,3,0
C-25,0,un,a,3,25
C-26,0,un,a,3,31
C-27,0,un,a,3,NA
C-28,0,un,a,3,136
C-29,0,un,a,3,8
C-30,0,un,a,3,58
C-31,0,un,a,3,3
C-32,0,un,a,3,0
C-33,0,un,a,3,163
C-34,0,un,a,3,116
C-35,0,un,a,3,135
C-36,0,un,a,3,67
C-37,0,un,a,3,6
C-38,0,un,a,3,120
C-39,0,un,a,3,0
C-40,0,un,a,3,49
I-1,2,in,in,3,25
I-2,2,in,in,3,6
I-3,2,in,in,3,44
I-4,2,in,in,3,36
I-5,2,in,in,3,86
I-6,2,in,in,3,38
I-7,2,in,in,3,107
I-8,2,in,in,3,18
I-9,2,in,in,3,0
I-10,1,ex,ex,3,5
I-11,2,in,in,3,2
I-12,2,in,in,3,31
I-13,1,ex,ex,3,167
I-14,2,in,in,3,30
I-15,2,in,in,3,83
I-16,1,ex,ex,3,152
I-17,2,in,in,3,67
I-18,2,in,in,3,121
I-19,2,in,in,3,7
I-20,2,in,in,3,124
I-21,2,in,in,3,0
I-22,2,in,in,3,46
I-23,1,ex,ex,3,NA
I-24,2,in,in,3,23
I-25,2,in,in,3,52
I-26,1,ex,ex,3,72
I-27,2,in,in,3,59
I-28,2,in,in,3,13
I-29,1,ex,ex,3,39
I-30,2,in,in,3,43
I-31,2,in,in,3,98
I-32,2,in,in,3,74
I-33,2,in,in,3,83
I-34,2,in,in,3,49
I-35,2,in,in,3,145
I-36,2,in,in,3,61
I-37,2,in,in,3,65
I-38,1,ex,ex,3,127
I-39,2,in,in,3,74
I-40,2,in,in,3,82
I-41,2,in,in,3,78
I-42,2,in,in,3,0
I-43,1,ex,ex,3,NA
I-44,1,ex,ex,3,65
I-45,1,ex,ex,3,93
I-46,2,in,in,3,77
I-47,2,in,in,3,18
I-48,1,ex,ex,3,NA
I-49,1,ex,ex,3,52
I-50,1,ex,ex,3,132
C-1 ,0,un,a,4,0
C-2,0,un,a,4,0
C-3,0,un,a,4,1
C-4,0,un,a,4,41
C-5,0,un,a,4,35
C-6,0,un,a,4,9
C-7,0,un,a,4,NA
C-8,0,un,a,4,63
C-9,0,un,a,4,6
