SNAil.ID,Infection.Status,fact,fact1,week,eggs,egg.masses,eggs.egg.masses
C-1 ,0,un,a,1,7,1,7
C-2,0,un,a,1,0,0,0
C-3,0,un,a,1,51,5,10.2
C-4,0,un,a,1,33,4,8.25
C-5,0,un,a,1,0,0,0
C-6,0,un,a,1,8,2,4
C-7,0,un,a,1,0,0,0
C-8,0,un,a,1,56,5,11.2
C-9,0,un,a,1,0,0,0
C-10,0,un,a,1,83,8,10.375
C-11,0,un,a,1,0,0,0
C-12,0,un,a,1,0,0,0
C-13,0,un,a,1,0,0,0
C-14,0,un,a,1,53,5,10.6
C-15,0,un,a,1,0,0,0
C-16,0,un,a,1,20,4,5
C-17,0,un,a,1,35,4,8.75
C-18,0,un,a,1,47,5,9.4
C-19,0,un,a,1,92,10,9.2
C-20,0,un,a,1,79,6,13.16666667
C-21,0,un,a,1,72,6,12
C-22,0,un,a,1,26,4,6.5
C-23,0,un,a,1,90,6,15
C-24,0,un,a,1,0,0,0
C-25,0,un,a,1,40,7,5.714285714
C-26,0,un,a,1,16,4,4
C-27,0,un,a,1,110,8,13.75
C-28,0,un,a,1,31,5,6.2
C-29,0,un,a,1,2,1,2
C-30,0,un,a,1,13,2,6.5
C-31,0,un,a,1,0,0,0
C-32,0,un,a,1,0,0,0
C-33,0,un,a,1,39,6,6.5
C-34,0,un,a,1,10,2,5
C-35,0,un,a,1,53,6,8.833333333
C-36,0,un,a,1,11,2,5.5
C-37,0,un,a,1,0,0,0
C-38,0,un,a,1,26,2,13
C-39,0,un,a,1,0,0,0
C-40,0,un,a,1,4,1,4
I-1,2,in,in,1,45,4,11.25
I-2,2,in,in,1,0,0,0
I-3,2,in,in,1,13,3,4.333333333
I-4,2,in,in,1,44,8,5.5
I-5,2,in,in,1,32,5,6.4
I-6,2,in,in,1,20,3,6.666666667
I-7,2,in,in,1,204,7,29.14285714
I-8,2,in,in,1,49,7,7
I-9,2,in,in,1,0,0,0
I-10,1,ex,ex,1,0,0,0
I-11,2,in,in,1,0,0,0
