week,group,ID,error
1,aun,a,0
1,aun,b,0
1,aun,c,0
1,aun,d,0
1,aun,e,0
1,aun,f,0
1,aun,g,0
1,aun,h,0
1,aun,i,0
1,aun,j,0
1,aun,k,0
1,aun,l,0
1,aun,m,0
1,aun,n,0
1,aun,o,0
1,aun,p,0
1,aun,q,0
1,aun,r,0
1,aun,s,0
1,aun,t,1
1,aun,u,1
1,aun,v,0
1,aun,w,0
1,aun,x,0
1,aun,y,1
1,aun,z,1
1,aun,aa,1
1,aun,ab,1
1,aun,ac,0
1,aun,ad,0
1,aun,ae,0
1,aun,af,0
1,aun,ag,1
1,aun,ah,0
1,aun,ai,1
1,aun,aj,0
1,aun,ak,0
1,aun,al,0
1,aun,am,0
1,aun,an,0
1,ex,ao,0
1,ex,ap,0
1,ex,aq,0
1,ex,ar,0
1,ex,as,0
1,ex,at,0
1,ex,au,0
1,ex,aw,0
1,ex,ax,1
1,ex,ay,0
1,ex,az,0
1,ex,ba,0
1,in,bb,0
1,in,bc,0
1,in,bd,0
1,in,be,1
1,in,bf,1
1,in,bg,1
1,in,bh,0
1,in,bi,0
1,in,bj,0
1,in,bk,0
1,in,bl,1
1,in,bm,0
1,in,bn,0
1,in,bo,0
1,in,bp,0
1,in,bq,0
1,in,br,0
1,in,bs,0
1,in,bt,0
1,in,bu,0
1,in,bv,0
1,in,bw,0
1,in,bx,1
1,in,by,0
1,in,bz,1
1,in,ca,0
1,in,cb,1
1,in,cc,0
1,in,cd,0
1,in,ce,1
1,in,cf,1
1,in,cg,0
1,in,ch,0
1,in,ci,0
1,in,cj,0
1,in,ck,0
1,in,cl,0
2,aun,a,0
2,aun,b,0
2,aun,c,1
2,aun,d,0
2,aun,e,0
2,aun,f,1
2,aun,g,0
2,aun,h,0
2,aun,i,1
2,aun,j,1
2,aun,k,1
2,aun,l,1
2,aun,m,0
2,aun,n,0
2,aun,o,0
2,aun,p,0
2,aun,q,0
2,aun,r,0
2,aun,s,0
2,aun,t,1
2,aun,u,0
2,aun,v,1
2,aun,w,1
2,aun,x,0
2,aun,y,1
2,aun,z,0
2,aun,aa,1
2,aun,ab,1
2,aun,ac,1
2,aun,ad,0
2,aun,ae,0
2,aun,af,0
2,aun,ag,1
2,aun,ah,0
2,aun,ai,0
2,aun,aj,1
2,aun,ak,0
2,aun,al,0
2,aun,am,0
2,aun,an,1
2,ex,ao,0
2,ex,ap,1
2,ex,aq,1
2,ex,ar,0
2,ex,as,1
2,ex,at,0
2,ex,au,1
2,ex,aw,0
2,ex,ax,1
2,ex,az,1
2,ex,ba,0
2,in,bb,1
2,in,bc,0
2,in,bd,1
2,in,be,1
2,in,bf,1
2,in,bg,0
2,in,bh,1
2,in,bi,0
2,in,bj,0
2,in,bk,0
2,in,bl,1
2,in,bm,1
2,in,bn,1
2,in,bo,1
2,in,bp,1
2,in,bq,0
2,in,br,1
2,in,bs,0
2,in,bt,0
2,in,bu,0
2,in,bv,1
2,in,bw,0
2,in,bx,1
2,in,by,1
2,in,bz,0
2,in,ca,0
2,in,cb,0
2,in,cc,1
2,in,cd,0
2,in,ce,0
2,in,cf,0
2,in,cg,1
2,in,ch,1
2,in,ci,1
2,in,cj,0
2,in,ck,1
2,in,cl,0
3,aun,a,0
3,aun,b,0
3,aun,c,1
3,aun,d,0
3,aun,e,0
3,aun,f,1
3,aun,h,1
3,aun,i,1
3,aun,j,1
3,aun,k,0
3,aun,l,0
3,aun,m,0
3,aun,n,0
3,aun,o,1
3,aun,p,0
3,aun,q,1
3,aun,r,1
3,aun,s,1
3,aun,t,0
3,aun,u,0
3,aun,v,1
3,aun,w,1
3,aun,x,0
3,aun,y,0
3,aun,z,1
3,aun,ab,1
3,aun,ac,0
3,aun,ad,0
3,aun,ae,0
3,aun,af,0
3,aun,ag,0
3,aun,ah,0
3,aun,ai,0
